id,addresses,addresses_extra,names,risks,risk_count
b04515d0-93ee-444a-b561-2d2ab30d5172,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']",['Authenticated Web Services'],1
4cf8dc1f-ce06-4150-8d27-663f4ef7b09d,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
d45a68b4-8612-4a73-b294-f84c237b2270,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']",['Authenticated Web Services'],1
6b12fc0f-6733-4bba-8802-afcf584ed1f9,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
92543332-bda0-4ef6-8b24-b9b8f249ec37,"['104.18.38.195', '172.64.149.61']",[],"['DEV.RRAMS.JNJ.COM', 'RRAMS.JNJ.COM']",['Authenticated Web Services'],1
5c948813-9ea1-40d9-8c70-d404f7234350,"['99.86.91.23', '99.86.91.69', '99.86.91.98', '99.86.91.113']",[],"['ASPAC-LUD-PROD.JNJ.COM', 'ASPAC-LUD-DEV.JNJ.COM', 'SERVER-99-86-91-113.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-23.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-69.CDG50.R.CLOUDFRONT.NET', 'SERVER-99-86-91-98.CDG50.R.CLOUDFRONT.NET']",['Authenticated Web Services'],1
d3b275f5-4ece-445d-8a6b-a008d0d32b6c,['148.177.28.203'],[],"['DPYLFSISNAQ.JNJ.COM', 'BTBNA2ISNAQ.JNJ.COM', 'BTBLAISNAQ.JNJ.COM', 'BTBMBOXISNAQ.JNJ.COM', 'BTBNAISNAQ.JNJ.COM', 'CCIISNAQ.JNJ.COM', 'CNS2ISNAQ.JNJ.COM', 'CNS3ISNAQ.JNJ.COM', 'CNSISNAQ.JNJ.COM', 'CORPISNAQ.JNJ.COM', 'CRDISNAQ.JNJ.COM', 'DOMUSMBOXISNAQ.JNJ.COM', 'DPYISNAQ.JNJ.COM', 'ENDOISNAQ.JNJ.COM', 'GPSGISNAQ.JNJ.COM', 'HCSOTCISNAQ.JNJ.COM', 'HYBRISAPISNAQ.JNJ.COM', 'JJSVISNAQ.JNJ.COM', 'LAISNAQ.JNJ.COM', 'LFS2ISNAQ.JNJ.COM', 'LFSISNAQ.JNJ.COM', 'MBOXISNAQ.JNJ.COM', 'MDD2ISNAQ.JNJ.COM', 'MDDISNAQ.JNJ.COM', 'PFISNAQ.JNJ.COM', 'PHM2ISNAQ.JNJ.COM', 'PHMISNAQ.JNJ.COM', 'PILISNAQ.JNJ.COM', 'TMSISNAQ.JNJ.COM', 'VIST2ISNAQ.JNJ.COM', 'VISTISNAQ.JNJ.COM', 'WEBMGSNAQA.JNJ.COM', 'WISEISNAQ.JNJ.COM']",['Authenticated Web Services'],1
4f01a913-9b5e-4239-8421-f9d8977d2011,"['104.18.38.195', '172.64.149.61']",[],"['DEV.RRAMS.JNJ.COM', 'RRAMS.JNJ.COM']",['Authenticated Web Services'],1
b21dbd57-c4d3-46c1-be40-93abef2cbd24,['148.177.28.203'],[],"['DPYLFSISNAQ.JNJ.COM', 'BTBNA2ISNAQ.JNJ.COM', 'BTBLAISNAQ.JNJ.COM', 'BTBMBOXISNAQ.JNJ.COM', 'BTBNAISNAQ.JNJ.COM', 'CCIISNAQ.JNJ.COM', 'CNS2ISNAQ.JNJ.COM', 'CNS3ISNAQ.JNJ.COM', 'CNSISNAQ.JNJ.COM', 'CORPISNAQ.JNJ.COM', 'CRDISNAQ.JNJ.COM', 'DOMUSMBOXISNAQ.JNJ.COM', 'DPYISNAQ.JNJ.COM', 'ENDOISNAQ.JNJ.COM', 'GPSGISNAQ.JNJ.COM', 'HCSOTCISNAQ.JNJ.COM', 'HYBRISAPISNAQ.JNJ.COM', 'JJSVISNAQ.JNJ.COM', 'LAISNAQ.JNJ.COM', 'LFS2ISNAQ.JNJ.COM', 'LFSISNAQ.JNJ.COM', 'MBOXISNAQ.JNJ.COM', 'MDD2ISNAQ.JNJ.COM', 'MDDISNAQ.JNJ.COM', 'PFISNAQ.JNJ.COM', 'PHM2ISNAQ.JNJ.COM', 'PHMISNAQ.JNJ.COM', 'PILISNAQ.JNJ.COM', 'TMSISNAQ.JNJ.COM', 'VIST2ISNAQ.JNJ.COM', 'VISTISNAQ.JNJ.COM', 'WEBMGSNAQA.JNJ.COM', 'WISEISNAQ.JNJ.COM']",['Authenticated Web Services'],1
8e53872b-24c7-4b36-be12-d72745192f2b,['104.18.19.52'],[],"['WWW.VISIONCARE.JNJ.COM', 'VISIONCARE.JNJ.COM']",['Authenticated Web Services'],1
f94d0bb7-0b8e-489e-9f4b-f0ccd2ccee05,['104.18.18.52'],[],"['VISIONCARE.JNJ.COM', 'WWW.VISIONCARE.JNJ.COM']",['Authenticated Web Services'],1
9884e337-939b-49c4-a4cc-4aaa0731db9f,"['104.18.40.4', '172.64.147.252']",[],['EXT-TOTALITYGATEWAY.JNJ.COM'],['Authenticated Web Services'],1
6dd91f43-e04d-42e5-aacb-e839cff0867d,"['104.18.40.4', '172.64.147.252']",[],['EXT-TOTALITYGATEWAY.JNJ.COM'],['Authenticated Web Services'],1
db11ed64-3ba1-47ae-9938-73107aec4d7e,"['104.18.39.48', '172.64.148.208']",[],"['ORAPPQA.JNJ.COM', 'TIMETOOL.JNJ.COM']",['Authenticated Web Services'],1
